"Deli Student Eraser Black (E3042)","Great Wiping Performance.
 PVC material.",No,"PKR 50.00",Black,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-student-eraser-black-e3042-.jpg,https://stationeryx.pk/deli-student-eraser-black-e3042.html
"Deli Student Eraser Black (E3043)","Great Wiping Performance.
 PVC material.",No,"PKR 30.00",Black,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-student-eraser-black-e3043-.jpg,https://stationeryx.pk/deli-student-eraser-black-e3043.html
"Deli POP Eraser Multicolorl (E3044)","Super soft PVC material.
 Great wiping performance.
 Single Piece Price",No,"PKR 35.00","Multiple colors","STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-pop-eraser-multicolorl-e3044-.jpg,https://stationeryx.pk/deli-student-eraser-multicolorl-e3044.html
"Deli Student Eraser Multi Color &amp; Flesible (E3045)","Super soft PVC material.
 Great wiping performance.",No,"PKR 23.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-student-eraser-multi-color-amp-flesible-e3045-.jpg,https://stationeryx.pk/deli-student-eraser-multicolor-flesible-e3045.html
"Deli Colored Pencil (24/Box) (E38025)","Model: E38025
 Brand: Deli
 Specification: 24 Color 
 Bright Color.
 Easy to sharpen",No,"PKR 253.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/deli-colored-pencil-24-box-e38025-.jpg,https://stationeryx.pk/deli-colored-pencil-24-box-e38025.html
"Piano Acrylic Tip 70 White Board Marker","Piano Board Marker Round Tip
 Tip 70
 Single Piece Price
 Elegantly designed for use on white boards in offices and schools. Easily erasable with a dry cloth.
 The Details Make All the Difference.",No,"PKR 30.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/piano-acrylic-tip-70-white-board-marker.jpg,https://stationeryx.pk/piano-acrylic-tip-70.html
"Piano Acrylic Tip 70 (Box)","Piano Board Marker Round Tip
 Tip 70
 Dozen in a box
 Elegantly designed for use on white boards in offices and schools. Easily erasable with a dry cloth.
 The Details Make All the Difference.",No,"PKR 360.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/piano-acrylic-tip-70-box-.jpg,https://stationeryx.pk/piano-acrylic-tip-70-box.html
"Piano Acrylic Tip 70 Permanent Marker","Piano Permanent Marker Round Tip
 Tip 70
 Single Piece Price
 Barrel, Cap and Plug are recyclable
 200 meter distance writing ink
 8 hours Cap Off Time",No,"PKR 23.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/piano-acrylic-tip-70-permanent-marker.jpg,https://stationeryx.pk/piano-acrylic-tip-444.html
"Piano Permanent Marker Chisel Tip 90","Piano Permanent Marker Chisel Tip
 Tip 90
 Single Piece Price
 Barrel, Cap and Plug are recyclable
 200 meter distance writing ink
 8 hours Cap Off Time",No,"PKR 23.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/piano-permanent-marker-chisel-tip-90.jpg,https://stationeryx.pk/piano-chisel-tip-464.html
"Piano Chisel Tip 90 (Box)","Piano Permanent Marker Chisel Tip
 Tip 90
 Dozen in a box
 Barrel, Cap and Plug are recyclable
 200 meter distance writing ink
 8 hours Cap Off Time",No,"PKR 276.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/piano-chisel-tip-90-box-.jpg,https://stationeryx.pk/piano-chisel-tip-90-box-2379.html
"Master Qalam Urdu 604 (Box)","Master Qalam Urdu 604
 10 pcs in box.
 Fine Chisel Point, 1.5mm wedge tip.
 Sharp articulated, Strong point heavy duty point.
 Vivid ink color, Long cap of time.
 Ideal for calligraphy, best fro Urdu,Arabic and Persian writing.
 Blue and black color available.",No,"PKR 100.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/master-qalam-urdu-604-box-.jpg,https://stationeryx.pk/master-urdu-604-box.html
"Master Mate 600 (Box)","Master Mate 600
 10 pcs in box.
 Strong bullet point 2.5mm hard Acrylic tip.
 Excellent adhesion, Water proof ink.
 Blue, black,red and green color available.",No,"PKR 45.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/master-mate-600-box-.jpg,https://stationeryx.pk/master-mate-600-box.html
"Master Urdu Qalum 605 (Box)","Master Urdu Qalum 605
 10 pcs in box.
 Smart Chisel Point, 2.5mm wedge tip.
 Sharp articulated, Strong point heavy duty point.
 Vivid ink color, Long cap of time.
 Ideal for calligraphy, best for Urdu, Arabic and Persian writing.
 Available in Blue and Black color.",No,"PKR 100.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/master-urdu-qalum-605-box-.jpg,https://stationeryx.pk/master-urdu-qalum-605-box.html
"Master Flora Round Tip 70 (box )(M-813)","Master Flora White Board Marker Round Tip 70 M-813
 Round Tip 3.0mm, quick drying.
 Long cap off time, extra ink capacity, Refillable.
 Available in Blue, Black, Red and Green colors.",No,"PKR 280.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/master-flora-round-tip-70-box-m-813-.jpg,https://stationeryx.pk/master-flora-round-tip-70-box-m-813.html
"Dollar Permanent Marker Round 70 (12 pcs)","Dollar Permanent Marker now with a clip which makes it easy to carry in pocket. The truly universal permanent marker for all surfaces has gone green. Made up of a minimum of 37% recycled materials, the Permanent Marker is truly Eco-Friendly: Refillable, Recyclable and Xylene / Toluene free.
 Permanent Marker, is permanent on Plastic, Glass, Metal, Fibre, Film, Paper & Board, Textile, OHP, CD/DVD and more .",Dollar,"PKR 324.00",No,"STATIONARY > SCHOOL SUPPLIES > WRITING TOOL",images/dollar-permanent-marker-round-70-12-pcs-.jpg,https://stationeryx.pk/dollar-permanent-marker-round-70-12-pcs.html
